auc,n,r,i
0.9027,8,2,1
0.9143,8,2,2
0.8859,8,2,3
0.935,8,3,1
0.9543,8,3,2
0.9559,8,3,3
0.935,8,4,1
0.9545,8,4,2
0.9559,8,4,3
0.9365,8,5,1
0.9549,8,5,2
0.9563,8,5,3
0.9365,8,6,1
0.9551,8,6,2
0.9567,8,6,3
0.9209,9,2,1
0.9332,9,2,2
0.9045,9,2,3
0.9876,9,3,1
0.9945,9,3,2
0.9954,9,3,3
0.9876,9,4,1
0.9946,9,4,2
0.9954,9,4,3
0.9876,9,5,1
0.9944,9,5,2
0.9954,9,5,3
0.9869,9,6,1
0.9943,9,6,2
0.9951,9,6,3
0.9197,10,2,1
0.9331,10,2,2
0.9231,10,2,3
0.9855,10,3,1
0.9743,10,3,2
0.9852,10,3,3
0.9855,10,4,1
0.9743,10,4,2
0.9851,10,4,3
0.9855,10,5,1
0.9742,10,5,2
0.985,10,5,3
0.9859,10,6,1
0.9745,10,6,2
0.9852,10,6,3
0.9188,11,2,1
0.951,11,2,2
0.9211,11,2,3
0.9859,11,3,1
0.9933,11,3,2
0.9951,11,3,3
0.9859,11,4,1
0.9933,11,4,2
0.9951,11,4,3
0.9859,11,5,1
0.9931,11,5,2
0.9947,11,5,3
0.9859,11,6,1
0.9933,11,6,2
0.9947,11,6,3
0.9397,12,2,1
0.9407,12,2,2
0.9414,12,2,3
0.9528,12,3,1
0.9624,12,3,2
0.9743,12,3,3
0.9528,12,4,1
0.9621,12,4,2
0.9742,12,4,3
0.9528,12,5,1
0.9614,12,5,2
0.9736,12,5,3
0.9528,12,6,1
0.9616,12,6,2
0.9738,12,6,3
